#,Score,Start Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
343D,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt(3),,2sqrt34,,(2pi-3sqrt3)/4,23,3-Feb,1,1,1,1,,1,,1,0,0,0:01:04,0:49:48,0:09:51,0:16:25,0:49:32,0:46:54,0:44:44,0:44:34,0:44:41,0:49:16
342E,4,4/14/2024 14:00,47,6-2sqrt3,frac{5sqrt7}{14},(-1+sqrt241)/2,frac{11}{14},2sqrt34,,(3pi)/2-9sqrt3/8,17,sqrt3,1,1,0,0,1,1,,0,0,0,0:22:54,0:23:18,0:29:57,0:36:57,0:22:40,0:37:22,0:39:07,0:48:15,0:49:41,0:49:54
328E,0,4/14/2024 14:02,1369/24,,,,,,,,,,0,,,,,,,,,,0:11:52,0:20:15,0:28:23,,,,,,,
227C,2,4/14/2024 14:00,1295sqrt2,6-2sqrt3,sqrt7/7,2sqrt3,14-Nov,,,,,,0,1,0,0,1,,,,,,0:16:50,0:17:57,0:20:45,0:25:28,0:29:25,,,,,
236E,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,(sqrt(4sqrt61-1)-sqrt3)/2,14-Nov,2sqrt34,25/98,pi - (3sqrt3)/4,,,1,1,1,0,1,1,1,0,,,0:01:28,0:04:50,0:07:16,0:16:12,0:37:03,0:25:40,0:41:03,0:47:45,0:47:53,
201C,0,4/14/2024 14:00,61,3,0,8,0.5,13,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0:42:57,0:04:25,0:20:59,0:14:55,0:25:56,0:09:57,0:14:32,0:18:16,0:18:19,0:11:55
301B,6,4/14/2024 14:00,59,6-2sqrt3,sqrt{7}/14,4sqrt3,2-Jan,2sqrt{34},25/98,pi - \frac{3\sqrt{3}}{4},11,\frac{6+2sqrt3}{9},0,1,1,1,0,1,1,0,0,1,0:02:30,0:03:21,0:05:31,0:08:28,0:42:50,0:13:57,0:21:17,0:26:21,0:49:16,0:34:34
227E,3,4/14/2024 14:00,47,6 - 2sqrt3,(sqrt7)/14,(-sqrt3)/2 + (sqrt243)/2,,,,,,,1,1,1,0,,,,,,,0:03:00,0:12:58,0:19:14,0:48:28,,,,,,
212E,4,4/14/2024 14:00,47,6-2sqrt(3),sqrt(7)/14,5sqrt(3),14-Nov,,,,,,1,1,1,0,1,,,,,,0:07:27,0:47:58,0:33:18,0:28:30,0:49:31,,,,,
028D,2,4/14/2024 14:01,47,6-2sqrt3,sqrt7/2-sqrt3/2,43,3-Feb,19,27/35,7pi,7sqrt2,6-Jan,1,1,0,0,0,0,0,0,0,0,0:02:56,0:05:11,0:22:56,0:48:32,0:32:32,0:32:22,0:32:13,0:25:06,0:24:55,0:24:46
209B,5,4/14/2024 14:00,47,sqrt3,sqrt7/14,4*sqrt3,13/14,2sqrt34,25/98,,22sqrt3,sqrt3/3,1,0,1,1,0,1,1,,0,0,0:32:42,0:32:50,0:10:19,0:10:26,0:49:32,0:30:21,0:44:51,0:49:11,0:48:50,0:48:58
320E,2,4/14/2024 14:00,47,4\sqrt{3},\frac{\sqrt{7}}{14},\frac{\sqrt{122}}{61},1,,,,,,1,0,1,0,0,,,,,,0:07:27,0:11:16,0:39:07,0:42:16,0:42:18,0:49:01,,,,
127D,4,4/14/2024 14:03,47,6-2sqrt3,sqrt1.75,4sqrt3,14-Nov,21,,pi/2 *sqrt3,13,5/9 *sqrt(3),1,1,0,1,1,0,,0,0,0,0:06:07,0:14:04,0:20:04,0:41:09,0:27:44,0:49:44,,0:49:53,0:49:59,0:27:07
024B,1,4/14/2024 14:00,48,6-2sqrt3,sqrt3/2,sqrt183/2,3,15/2,243/16,(5+sqrt13)/4,sqrt(134+5sqrt109),567/(438sqrt3),0,1,0,0,0,0,0,0,0,0,0:08:28,0:07:15,0:07:58,0:09:36,0:21:24,0:21:52,0:30:29,0:22:28,0:04:33,0:09:01
266E,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,7sqrt2,25/73,(3sqrt3)/4+pi/2,,(sqrt3pi)/6,1,1,1,1,1,0,0,0,,0,0:02:52,0:03:37,0:11:46,0:16:56,0:21:30,0:45:54,0:35:40,0:35:57,,0:45:35
256E,4,4/14/2024 14:00,47,6-3*sqrt(3),sqrt(7)/14,8*sqrt(3)/2,,2*sqrt(34),25/98,pi - 3*sqrt(3)/4,,,1,0,1,0,,1,1,0,,,0:03:16,0:03:21,0:05:29,0:16:34,0:29:46,0:22:54,0:39:13,0:39:41,,
247D,1,4/14/2024 14:00,47,6-3sqrt3,sqrt7/2-2sqrt2,9,sqrt2,13,21-Jan,3sqrt2,16,14/17,1,0,0,0,0,0,0,0,0,0,0:27:18,0:14:06,0:36:50,0:38:41,0:42:54,0:46:06,0:46:15,0:46:41,0:48:55,0:49:51
189D,0,4/14/2024 14:00,50,2.536,0.134,,,,2-Jan,,root. 91,0.8:0.9,0,0,0,,,,0,,0,0,0:03:21,0:10:44,0:14:24,,,,0:37:01,,0:25:30,0:48:21
183C,2,4/14/2024 14:01,47,6-2sqrt3,(6sqrt3-5sqrt2)/20,6,2-Jan,5,2-Jan,24,16,3-Jan,1,1,0,0,0,0,0,0,0,0,0:07:02,0:09:16,0:35:53,0:45:11,0:45:16,0:45:45,0:45:48,0:45:54,0:45:59,0:46:31
191D,2,4/14/2024 14:00,37,6-2sqrt3,(sqrt7-sqrt3)/2,(sqrt249-sqrt3)/2,14-Nov,,,,,,0,1,0,0,1,,,,,,0:03:57,0:06:55,0:15:22,0:23:14,0:30:29,0:40:04,,,,
113D,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14/11,2sqrt(34)/3,25/73,pi/2-3sqrt(3)/4,5,(6+2sqrt(3))/9,1,1,1,1,0,0,0,1,0,1,0:01:50,0:03:37,0:06:13,0:10:31,0:19:00,0:39:56,0:32:20,0:25:19,0:48:54,0:49:49
310E,1,4/14/2024 14:00,47,4√3,1,6,1:01,,1:06,,,4√3,1,0,0,0,0,,0,,,0,0:03:13,0:08:33,0:20:18,0:31:03,0:47:53,0:31:16,0:46:28,0:48:01,0:48:46,0:25:36
069B,0,4/14/2024 14:01,74,3.46,1.118,13.5,1,15/8,2-Jan,9pi/2,11.1875,3-Feb,0,0,0,0,0,0,0,0,0,0,0:00:35,0:02:46,0:03:40,0:04:46,0:05:17,0:06:30,0:07:02,0:07:44,0:09:23,0:10:27
240F,5,4/14/2024 14:00,47,6-2*sqrt3,sqrt7/14,4sqrt3,5-Jul,2sqrt34,1764/sqrt2,3pi/2,13,2-Jan,1,1,1,1,0,1,0,0,0,0,0:03:46,0:15:51,0:16:18,0:28:40,0:43:19,0:42:29,0:49:58,0:49:09,0:48:05,0:48:19
253A,3,4/14/2024 14:01,47,6-2sqrt3,sqrt7/14,2pisqrt61/6-1,,,,,,,1,1,1,0,,,,,,,0:13:06,0:16:52,0:41:06,0:48:16,,,,,,
133E,3,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,(sqrt(495-244sqrt3)-sqrt3)/2,,,,1/2pi,,,1,1,1,0,,,,0,,,0:01:52,0:04:30,0:10:39,0:39:43,0:45:18,,,0:45:22,,
317C,1,4/14/2024 14:00,47,2-May,,,,,,,,,1,0,,,,,,,,,0:03:03,0:19:10,,,,,,,,
181D,3,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,1,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0:03:20,0:12:19,0:31:59,0:49:00,0:49:06,0:49:08,0:49:10,0:49:12,0:49:13,0:49:45
089D,2,4/14/2024 14:00,47,6-2sqrt3,(2sqrt7 - sqrt21)/8,sqrt15 - sqrt3/2,39/45,8.5,140,sqrt3,e,42,1,1,0,0,0,0,0,0,0,0,0:05:38,0:09:45,0:36:20,0:44:36,0:49:18,0:49:29,0:49:39,0:49:53,0:49:55,0:49:57
004E,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,,2sqrt34,,,,,1,1,1,1,,1,,,,,0:01:26,0:11:36,0:15:48,0:28:05,0:43:44,0:44:09,0:47:02,,,
321D,2,4/14/2024 14:00,47,6-2sqrt3,sqrt37/4,(7503 + 243sqrt3)/122,,,,,,,1,1,0,0,,,,,,,0:04:54,0:11:00,0:14:02,0:34:57,,,,,,
034C,3,4/14/2024 14:00,47,6 - 2sqrt3,9/14sqrt7,,7-Jun,2 sqrt34,,3/8(pi-sqrt3),,,1,1,0,,0,1,,0,,,0:06:47,0:06:51,0:14:45,0:49:45,0:49:47,0:31:39,,0:49:14,,
121D,6,4/14/2024 14:00,47,6-2\sqrt3,\frac{4\sqrt(7)}{7},4\sqrt{3},14-Nov,2\sqrt{34},25/98,\pi/2-\frac{3\sqrt{3}}{8},\sqrt{201},,1,1,0,1,1,1,1,0,0,,0:01:18,0:07:05,0:12:43,0:12:54,0:22:30,0:22:45,0:42:58,0:41:19,0:47:53,
123D,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,3sqrt29,25/98,pi/2-4sqrt3/4,91,9-Oct,1,1,1,1,1,0,1,0,0,0,0:01:22,0:11:11,0:40:24,0:07:50,0:18:44,0:08:56,0:19:54,0:21:10,0:43:41,0:31:08
127E,4,4/14/2024 14:03,47,6-2sqrt3,1/(2sqrt7),4sqrt3,14-Nov,,,,,(25sqrt3)/48,1,1,0,1,1,,,,,0,0:48:23,0:41:53,0:47:27,0:42:00,0:49:14,0:47:35,,,0:41:48,0:24:26
186D,1,4/14/2024 14:01,47,2sqrt(3),3-Aug,(8sqrt(3))/3,9-Oct,96,3-Jan,5,13,6-Jan,1,0,0,0,0,0,0,0,0,0,0:44:14,0:08:48,0:18:27,0:32:14,0:44:17,0:32:18,0:47:40,0:47:45,0:48:02,0:47:58
060F,0,4/14/2024 14:00,244,sqrt3/2,3-Apr,2,2-Jan,5,5-Jan,2-Mar,8,1,0,0,0,0,0,0,0,0,0,0,0:15:23,0:19:58,0:25:27,0:28:43,0:45:39,0:44:14,0:45:25,0:44:50,0:44:25,0:35:52
118F,1,4/14/2024 14:02,74,2-Mar,4-Jan,sqrt183,14-Nov,11.5,4-Jan,(pi*9)/14,40/7,5,0,0,0,0,1,0,0,0,0,0,0:02:21,0:06:45,0:20:19,0:47:55,0:16:39,0:32:03,0:48:19,0:31:57,0:48:27,0:48:42
075D,3,4/14/2024 14:00,47,6-2sqrt3,sqrt21/21,4sqrt3,22/23,3sqrt14,25/73,pi- (3sqrt3)/4,,,1,1,0,1,0,0,0,0,,,0:02:28,0:03:36,0:07:15,0:14:38,0:49:07,0:22:18,0:29:09,0:39:32,,
279B,2,4/14/2024 14:00,47,6-2sqrt3, sqrt3,8,15:11,sqrt(580)/3,8,8,8,,1,1,0,0,0,0,0,0,0,,0:03:31,0:05:39,0:49:31,0:49:40,0:28:15,0:46:27,0:49:42,0:49:47,0:49:51,0:47:23
271E,1,4/14/2024 14:03,61,6-2sqrt3,(sqrt3-1)/sqrt3,24,11,10,43,3.14,22,,0,1,0,0,0,0,0,0,0,,0:09:39,0:38:13,0:40:45,0:48:23,0:48:32,0:48:19,0:48:38,0:31:46,0:48:40,
282E,7,4/14/2024 14:01,47,1-sqrt3/3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,pi/2-(3sqrt3)/4,,,1,0,1,1,1,1,1,1,,,0:01:57,0:49:13,0:08:33,0:13:21,0:20:09,0:26:34,0:31:27,0:41:14,0:45:14,
310D,2,4/14/2024 14:02,47,6-2sqrt3,(2-sqrt3)/2,sqrt183,,,,1/3pi-sqrt3/2,sqrt91,1:01,1,1,0,0,,,,0,0,0,0:14:36,0:14:52,0:32:27,0:39:24,0:40:19,,0:49:56,0:46:30,0:42:45,0:45:02
365A,4,4/14/2024 14:01,47,6-2sqrt3,(3sqrt3)/28,,14-Nov,(2sqrt145)/3,25/98,(4pi-3sqrt3)/8,,,1,1,0,,1,0,1,0,,,0:04:46,0:05:55,0:19:23,0:30:28,0:30:29,0:35:38,0:44:55,0:49:41,,
123E,7,4/14/2024 14:00,47,6-2*sqrt(3),sqrt(7)/14,4*sqrt(3),14-Nov,3*sqrt(29),25/98,pi/2-3*sqrt(3)/4,91,9-Oct,1,1,1,1,1,0,1,1,0,0,0:02:11,0:11:21,0:40:27,0:08:51,0:18:42,0:08:59,0:16:48,0:21:13,0:43:44,0:36:45
228C,5,4/14/2024 14:00,47,6-2\sqrt{3},sqrt(28)/28,4\sqrt{3},1,2sqrt34,25/98,\pi-\frac{3\sqrt{3}}{4},12,sqrt3/2,1,1,0,1,0,1,1,0,0,0,0:03:25,0:05:55,0:11:57,0:26:00,0:28:19,0:33:18,0:42:28,0:48:21,0:49:38,0:49:56
061C,1,4/14/2024 14:00,47,2sqrt3,(3sqrt7 - 6)/6,4,10-Sep,120/17,7-Jan,(4pi - 3sqrt3)/12,4sqrt3,12-Jan,1,0,0,0,0,0,0,0,0,0,0:22:29,0:26:30,0:40:30,0:28:37,0:16:02,0:15:43,0:15:29,0:46:57,0:15:16,0:15:10
049C,2,4/14/2024 14:00,47,2.5,sqrt7/14,sqrt3(5*sqrt13/2-1/2),2-Jan,,,(3pi)/2,,,1,0,1,0,0,,,0,,,0:07:15,0:14:02,0:18:54,0:46:23,0:49:03,,,0:49:56,,
077E,0,4/14/2024 14:01,37sqrt2,sqrt2,1,6-3sqrt3,1:01,200/3,2:01,,sqrt91,,0,0,0,0,0,0,0,,0,,0:09:54,0:20:24,0:25:09,0:28:08,0:37:53,0:32:28,0:36:13,0:44:14,0:48:05,
011B,2,4/14/2024 14:00,47,6-2sqrt3,sqrt3/2,3/2(sqrt41-1),9-Aug,sqrt17,3:05,9,,17:21,1,1,0,0,0,0,0,0,,0,0:17:28,0:34:23,0:41:28,0:49:14,0:45:22,0:45:53,0:46:08,0:46:14,,0:46:48
135D,4,4/14/2024 14:04,47,6-2sqrt(3),1,4sqrt(3),11:14,,,(2pi+3sqrt(3))/4,,,1,1,0,1,1,,,0,,,0:03:54,0:44:52,0:20:40,0:30:01,0:47:41,,,0:35:48,,
201D,1,4/14/2024 14:00,61-sqrt793,6-2sqrt3,0.5,sqrt183,,35,,0.3,(10sqrt3)/3,1:02,0,1,0,0,,0,,0,0,0,0:05:29,0:08:23,0:10:35,0:15:44,0:17:40,0:21:35,,0:41:28,0:42:41,0:46:09
042C,3,4/14/2024 14:00,47,6-2sqrt3,sqrt28/28,4sqrt3,,,,,,,1,1,0,1,,,,,,,0:03:43,0:32:17,0:49:29,0:32:19,,,,,,
042D,5,4/14/2024 14:04,27,6-2\sqrt{3},sqrt(7)/14,4sqrt3,16-Nov,(23\sqrt{37})/6,25/98,\pi/2-(3\sqrt{3})/4,27sqrt6,14,0,1,1,1,0,0,1,1,0,0,0:01:22,0:06:46,0:10:55,0:18:39,0:23:11,0:35:40,0:30:02,0:42:10,0:45:44,0:45:48
322G,9,4/14/2024 14:00,47,6-2\sqrt{3},\sqrt{7}/14,4\sqrt{3},14-Nov,2\sqrt{34},25/98,(2pi-3\sqrt{3})/4,,(6+2\sqrt{3})/9,1,1,1,1,1,1,1,1,,1,0:00:36,0:01:45,0:02:37,0:04:13,0:13:01,0:49:43,0:34:06,0:27:06,,0:47:41
071B,0,4/14/2024 14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228D,8,4/14/2024 14:00,47,6-2\sqrt 3,\sqrt{7} / 14,4\sqrt 3,14-Nov,2\sqrt 34,25/98,\pi/2 - \frac{3\sqrt 3}{4},,,1,1,1,1,1,1,1,1,,,0:02:36,0:05:57,0:12:32,0:19:09,0:32:09,0:32:14,0:44:36,0:49:30,,
128D,1,4/14/2024 14:00,sqrt 793,5.35,0.875,,14-Nov,,,,,,0,0,0,,1,,,,,,0:12:55,0:49:40,0:49:54,0:19:55,0:45:26,,,0:44:03,,
267B,2,4/14/2024 14:00,47,(3sqrt3)/2,,4sqrt3,9-Nov,sqrt136,,,,,1,0,,1,0,0,,,,,0:08:26,0:08:36,0:45:08,0:28:25,0:44:53,0:45:15,,,,
194F,0,4/14/2024 14:01,27,5,1,61,1,7,,,,,0,0,0,0,0,0,,,,,0:08:08,0:21:12,0:21:13,0:21:21,0:21:24,0:21:32,0:43:37,,0:48:49,
138E,0,4/14/2024 14:01,sqrt(2162),4,,#NAME?,24,24,24,24,24,24,0,0,,0,0,0,0,0,0,0,0:25:08,0:09:50,,0:45:08,0:45:13,0:45:16,0:45:17,0:45:22,0:45:25,0:45:27
271D,1,4/14/2024 14:02,61,6-2sqrt3,(sqrt3 - 1)/sqrt3,366,461,10,68,3.14,347,162,0,1,0,0,0,0,0,0,0,0,0:06:54,0:37:09,0:39:54,0:49:06,0:48:40,0:48:10,0:48:28,0:31:26,0:48:30,0:48:36
049D,2,4/14/2024 14:00,47,2.5,sqrt7/14,sqrt3(5*sqrt13/2-1/1),2-Jan,,,3pi/2,,,1,0,1,0,0,,,0,,,0:14:22,0:14:14,0:19:22,0:46:13,0:46:26,,,0:49:07,,
165F,5,4/14/2024 14:00,47,6-2sqrt3,(sqrt7-sqrt3)/4,4sqrt3,11-Sep,(2sqrt145)/3,25/98,pi/2 - (3sqrt3)/4,67,1729/1728,1,1,0,1,0,0,1,1,0,0,0:00:54,0:03:23,0:09:00,0:14:16,0:47:47,0:23:27,0:35:22,0:38:53,0:49:11,0:49:20
267C,2,4/14/2024 14:00,47,[3sqrt3]/2,sqrt3/2-sqrt2/2,4sqrt(3) ,11-Sep,sqrt136,,,-10,,1,0,0,1,0,0,,,0,,0:03:19,0:12:42,0:34:23,0:28:20,0:44:55,0:46:57,0:46:58,0:47:09,0:49:10,0:48:05
313E,1,4/14/2024 14:00,47,20-Sep,1/sqrt22,(366)^(1/4),3:05,32/3,3-Jan,0.15,8,1,1,0,0,0,0,0,0,0,0,0,0:03:20,0:08:54,0:17:17,0:24:31,0:47:27,0:33:32,0:38:14,0:46:39,0:49:52,0:41:22
254C,3,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,5sqrt3,sqrt3,3sqrt29,7-May,24,24,24,1,1,1,0,0,0,0,0,0,0,0:02:19,0:10:20,0:10:36,0:27:09,0:47:47,0:46:53,0:49:31,0:49:52,0:49:54,0:49:55
279C,5,4/14/2024 14:00,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),5-Jun,2sqrt34,3-Jan,(3pi)/4,20-sqrt(55),3,1,1,1,1,0,1,0,0,0,0,0:01:31,0:02:26,0:04:30,0:12:37,0:48:28,0:26:12,0:48:44,0:21:30,0:49:00,0:49:03
253B,5,4/14/2024 14:00,47,6-2sqrt(3),sqrt(7)/14,4sqrt(3),,2sqrt(34),,3(pi/2-sqrt(3)/4),,1/3+(4sqrt(3))/9,1,1,1,1,,1,,0,,0,0:01:29,0:02:57,0:08:52,0:13:48,,0:19:13,,0:30:00,,0:43:05
170B,1,4/14/2024 14:00,47,8sqrt3,sqrt3/9,3-Apr,2-Mar,17/2,8-May,pi/2,15,16/9,1,0,0,0,0,0,0,0,0,0,0:27:51,0:20:18,0:34:02,0:35:34,0:40:45,0:49:16,0:40:27,0:49:49,0:49:26,0:49:40
009A,7,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,(3pi)/8-(3sqrt3)/4,,,1,1,1,1,1,1,1,0,,,0:00:52,0:01:51,0:09:03,0:13:31,0:17:04,0:19:30,0:43:03,0:46:03,,
270C,2,4/14/2024 14:00,47,6-2sqrt3,sqrt7,5sqrt3,,,,,,,1,1,0,0,,,,,,,0:16:06,0:09:24,0:48:33,0:33:46,,,,,,
236G,7,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,(11-sqrt3)/2,14-Nov,2sqrt34,25/98,pi-(3sqrt3)/4,19,(sqrt3-1)/2,1,1,1,0,1,1,1,0,1,0,0:01:24,0:02:44,0:04:06,0:35:04,0:37:01,0:18:09,0:23:26,0:44:55,0:46:05,0:47:43
147B,6,4/14/2024 14:01,23,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,25/98,,,,0,1,1,1,1,1,1,,,,0:02:20,0:05:17,0:09:20,0:15:11,0:24:53,0:33:45,0:42:04,,,
034E,1,4/14/2024 14:05,24,6-2sqrt3,1-sqrt3/2,#NAME?,1,3.4,2,5.34,2,2,0,1,0,0,0,0,0,0,0,0,0:07:52,0:16:44,0:31:02,0:31:19,0:37:50,0:44:32,0:45:14,0:46:59,0:45:06,0:45:02
028E,0,4/14/2024 14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241C,3,4/14/2024 14:00,47,6-2sqrt3,sqrt13/26,4sqrt3,7-Aug,sqrt48889/8,98/25,(3pi)/2-sqrt3,8,,1,1,0,1,0,0,0,0,0,,0:02:01,0:05:15,0:10:55,0:16:46,0:49:53,0:33:47,0:43:30,0:49:35,0:49:42,
253C,2,4/14/2024 14:04,47,6-3sqrt3,sqrt3/4,4sqrt3,3-Feb,,5sqrt2-1,,43sqrt3/3,1:01,1,0,0,1,0,,0,,0,0,0:30:35,0:31:08,0:14:48,0:45:29,0:45:35,,0:42:44,,0:31:19,0:34:30
054D,0,4/14/2024 14:00,35,,,sqrt(183),,,,,,,0,,,0,,,,,,,0:02:06,,,0:36:29,,,,,,
227F,3,4/14/2024 14:00,49,6-2sqrt3,sqrt7/7,13,sqrt5/2,2sqrt5,25/98,pi/2-3sqrt3/4,8,1,0,1,0,0,0,0,1,1,0,0,0:02:37,0:05:04,0:07:09,0:16:51,0:46:18,0:45:59,0:28:10,0:35:16,0:49:54,0:37:20
241D,4,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,2-Mar,17,Jan-74,pi/2,14,sqrt3/3,1,1,1,1,0,0,0,0,0,0,0:07:21,0:14:03,0:17:58,0:24:09,0:49:17,0:49:19,0:48:56,0:33:03,0:49:27,0:49:53
234C,3,4/14/2024 14:00,47,6-2sqrt3,1/(2sqrt7),4sqrt3,7-Feb,51/8+sqrt34,3-Jan,234,123,1321,1,1,0,1,0,0,0,0,0,0,0:47:29,0:06:52,0:13:49,0:23:03,0:49:52,0:44:26,0:49:39,0:49:41,0:49:44,0:49:48
167C,2,4/14/2024 14:00,47,2sqrt3,sqrt7/14,(34sqrt3)/3,,,,,,,1,0,1,0,,,,,,,0:03:24,0:20:41,0:48:41,0:49:51,,,,,,
116E,3,4/14/2024 14:00,47,2sqrt3,sqrt7/14,4sqrt3,5-Jun,,,,,,1,0,1,1,0,,,,,,0:03:36,0:10:03,0:42:45,0:21:01,0:49:29,,,,,
092D,0,4/14/2024 14:03,24+12sqrt(2),3sqrt(3)/2,0.5,5,1,20,2-Jan,,sqrt201,4-May,0,0,0,0,0,0,0,,0,0,0:09:18,0:10:41,0:20:50,0:28:00,0:29:38,0:33:40,0:41:09,0:48:24,0:48:17,0:49:42
251F,2,4/14/2024 14:00,24+sqrt(793),6-2sqrt(3),sqrt(7)/14,(sqrt(249)-sqrt(3))/2,2sqrt(3),2sqrt(145)/3,1/1225,20,12,2,0,1,1,0,0,0,0,0,0,0,0:04:38,0:10:45,0:13:54,0:42:44,0:45:55,0:39:42,0:49:51,0:45:23,0:45:30,0:45:39
083D,6,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,4sqrt3,14-Nov,2sqrt34,15-Feb,3pi,69,sqrt3,1,1,1,1,1,1,0,0,0,0,0:01:08,0:02:27,0:04:42,0:41:13,0:39:46,0:44:26,0:49:21,0:49:26,0:49:30,0:49:47
190F,0,4/14/2024 14:00,(37-sqrt(37^2-24^2))/sqrt 2,sqrt 3,1,sqrt 183,1:01,68/3,,,,3:01,0,0,0,0,0,0,,,,0,0:08:21,0:08:25,0:09:26,0:11:10,0:12:28,0:17:49,0:40:12,0:26:12,0:31:47,0:33:15
341G,5,4/14/2024 14:01,47,2sqrt(3),sqrt(7)/14,"5sqrt5, 4sqrt6",14-Nov,2sqrt34,25/98,,12,,1,0,1,0,1,1,1,,0,,0:01:56,0:47:10,0:06:39,0:49:22,0:23:17,0:34:40,0:42:59,,0:49:58,
279A,2,4/14/2024 14:00,47,6-2sqrt(3),,,4-Mar,,,,,,1,1,,,0,,,,,,0:04:46,0:33:42,,,0:47:13,,,,,
343F,7,4/14/2024 14:00,47,6-2sqrt(3),1/(2sqrt(7)),4sqrt(3),14-Nov,2sqrt(35),25/98,pi/2-(3sqrt3)/4,19,(2sqrt2)/3,1,1,0,1,1,0,1,1,1,0,0:01:32,0:07:48,0:12:05,0:12:10,0:18:58,0:28:40,0:39:14,0:29:40,0:48:49,0:49:53
091G,0,4/14/2024 14:00,19.45 units,4 units,1.323 units,1.98 units 0r 2 units,1:01,8 units,301:49:00,3.9 sq units,29,1:01,0,0,0,0,0,0,0,0,0,0,0:21:23,0:06:28,0:21:11,0:21:03,0:13:34,0:20:50,0:19:57,0:21:32,0:15:47,0:14:23
277E,3,4/14/2024 14:00,47,1-sqrt3/3,sqrt7/14,5sqrt3,10-Nov,2sqrt34,7-Feb,,,,1,0,1,0,0,1,0,,,,0:02:13,0:04:14,0:09:36,0:13:42,0:24:04,0:34:51,0:48:10,0:47:21,,
282F,6,4/14/2024 14:01,47,6-2sqrt3,sqrt(7)/14,(sqrt(915)-sqrt3)/8,13-Nov,2sqrt34,25/98,pi/2-3sqrt3/4,sqrt(201),sqrt(3-sqrt3),1,1,1,0,0,1,1,1,0,0,0:01:58,0:03:07,0:04:57,0:09:43,0:12:48,0:17:05,0:23:06,0:26:53,0:49:36,0:48:29
018F,1,4/14/2024 14:01,52,2sqrt3+3,sqrt7/14,sqrt183,1,9,2.5,sqrt126,8,1.15,0,0,1,0,0,0,0,0,0,0,0:47:20,0:08:30,0:15:12,0:42:29,0:36:14,0:45:42,0:47:42,0:48:03,0:48:13,0:48:28
053D,1,4/14/2024 14:00,47,3sqrt3/2,sqrt7/2-1,8,,17/2,5-Apr,pi/18,10,3-Jan,1,0,0,0,,0,0,0,0,0,0:02:26,0:38:30,0:19:52,0:41:32,0:41:38,0:49:13,0:47:49,0:44:20,0:43:18,0:41:59
316F,3,4/14/2024 14:00,47,(9-sqrt3)/3,,4sqrt3,14-Nov,,13-Nov,3*sqrt3/4,61,56,1,0,,1,1,,0,0,0,0,0:10:27,0:05:49,0:44:49,0:24:28,0:40:32,,0:45:02,0:49:44,0:49:48,0:49:52
295E,0,4/14/2024 14:00,68,2,3,9,1:01,5-Apr,2-Jan,9,10.5,3-Jan,0,0,0,0,0,0,0,0,0,0,0:12:05,0:14:41,0:22:46,0:26:51,0:27:27,0:28:37,0:29:15,0:31:23,0:32:21,0:38:17
309F,5,4/14/2024 14:00,47,6-2sqrt3,sqrt7/14,\frac{-1+sqrt3901}{2},,\frac{33sqrt2}{7},25/98,pi/2-\frac{3sqrt3}{4},,3-Apr,1,1,1,0,,0,1,1,,0,0:02:12,0:03:41,0:06:30,0:47:04,,0:34:41,0:42:50,0:10:55,,0:17:01
331E,2,4/14/2024 14:01,47,6-2sqrt3,\frac{8sqrt(7)-7sqrt(6)}{22},\frac{-1+sqrt(4sqrt61-3)}{2},,,343,,,1+1/(sqrt69+32),1,1,0,0,,,0,,,0,0:09:09,0:14:14,0:25:58,0:35:39,,,0:49:40,,,0:44:11
083E,0,4/14/2024 14:00,48,2sqrt(3),sqrt(17)/14,,,,,,,,0,0,0,,,,,,,,0:08:11,0:33:56,0:19:29,,,,,,,
